"","combinationPotential","lowCI","highCI","P","FDR"
"GSK.690693 + QL.XII.47",-0.329241935563813,-0.400195829185833,-0.254364270227326,6.89103152517408e-17,5.97457294122442e-13
"QL.XII.47 + torin.2",-0.327421214278989,-0.398480550368208,-0.252454603785276,1.04122916368498e-16,5.97457294122442e-13
"EGF + torin.2",-0.32323924920822,-0.394538890308363,-0.24807055306581,2.65912706945815e-16,1.01720474163673e-12
"celastrol + torin.2",-0.314030541186656,-0.385850074671194,-0.238427693803354,1.99190997758698e-15,5.26402041489254e-12
"CP466722 + QL.XII.47",-0.313373709070664,-0.385229837882951,-0.237740463956358,2.29349094409748e-15,5.26402041489254e-12
"QL.XII.47 + torin.1",-0.31099010211786,-0.382978487928831,-0.235247181162942,3.81427115307636e-15,7.29542929211739e-12
"nilotinib + QL.XII.47",-0.309453176293326,-0.38152638646364,-0.233640065898368,5.28198829968772e-15,8.03286350438294e-12
"TNF + torin.2",-0.309176412277934,-0.381264859508325,-0.233350706430378,5.59976542654789e-15,8.03286350438294e-12
"QL.XII.47 + TNF",-0.304741526662823,-0.377072559187887,-0.22871582135267,1.4161104175916e-14,1.80569812803124e-11
"nilotinib + torin.2",-0.300818086145113,-0.373361255702123,-0.224618317320196,3.17595997543563e-14,3.64473166780992e-11
"QL.X.138 + QL.XII.47",-0.299281318924599,-0.371906946985688,-0.223014105501118,4.3433641875814e-14,4.53131340151675e-11
"celastrol + QL.XII.47",-0.293958462267939,-0.366866941955479,-0.217460834426957,1.26612126752968e-13,1.21083397218088e-10
"QL.XII.47 + XMD.1185H",-0.292563222701523,-0.365545135750354,-0.216006016837058,1.66984644919966e-13,1.42049250996547e-10
"JWE.035 + QL.XII.47",-0.292339908240966,-0.365333547303987,-0.215773198195048,1.74523580960769e-13,1.42049250996547e-10
"QL.XII.47 + tivantinib",-0.29202650669689,-0.365036589434002,-0.215446473077928,1.85669115105281e-13,1.42049250996547e-10
"QL.XII.47 + XMD.885",-0.291116754036556,-0.364174485866456,-0.214498141410241,2.22124275845153e-13,1.52031812493092e-10
"QL.XII.47 + XMD.16144",-0.291046545323578,-0.364107949192017,-0.214424961427629,2.25212688426504e-13,1.52031812493092e-10
"QL.XII.47 + WYE.125132",-0.289705125388044,-0.362836544604587,-0.213026937102701,2.92988289639463e-13,1.8679631177236e-10
"MLN.8054 + QL.XII.47",-0.288566084182389,-0.361756741800299,-0.211840077803991,3.6592700592216e-13,1.96055051698812e-10
"torin.2 + XMD.885",-0.28844300746265,-0.361640054205279,-0.211711847746696,3.74800580884556e-13,1.96055051698812e-10
"QL.XII.47 + WZ.4.145",-0.288391196816025,-0.361590932452769,-0.211657868529866,3.78598753998619e-13,1.96055051698812e-10
"GSK.461364 + QL.XII.47",-0.288270234816557,-0.361476246615941,-0.21153184540513,3.87613704309268e-13,1.96055051698812e-10
"CP466722 + torin.2",-0.288200184707599,-0.361409830072557,-0.211458865522758,3.92930131498141e-13,1.96055051698812e-10
"AZD.1480 + QL.XII.47",-0.287928971832918,-0.361152678260311,-0.211176317519847,4.14195705465364e-13,1.98054579830021e-10
"tivantinib + torin.2",-0.286446658659367,-0.359747018984989,-0.209632278835333,5.51920882698605e-13,2.53353761993968e-10
"JWE.035 + torin.2",-0.285473252918893,-0.358823769320021,-0.208618547516132,6.65803743276611e-13,2.87690843508928e-10
"BX.912 + QL.XII.47",-0.285387606747941,-0.358742529316055,-0.208529361158811,6.76860646108493e-13,2.87690843508928e-10
"QL.XII.47 + XMD.1499",-0.284858080792228,-0.358240220762879,-0.207977975617885,7.49324783739373e-13,3.07116114935466e-10
"HG.5.113.01 + QL.XII.47",-0.284452424576354,-0.357855386358563,-0.2075556063862,8.09925371742587e-13,3.20507019521308e-10
"torin.2 + XMD.16144",-0.284093768018491,-0.357515118410357,-0.207182197075454,8.67483191269163e-13,3.31841236766831e-10
"AZD.8055 + QL.XII.47",-0.283567255539163,-0.357015565333073,-0.206634067957438,9.59298757900114e-13,3.55126211150378e-10
"OSI.027 + QL.XII.47",-0.282937016030572,-0.356417541187657,-0.205978016656889,1.08176596856978e-12,3.83802230081146e-10
"buparlisib + QL.XII.47",-0.282831808697118,-0.356317705774613,-0.205868507239392,1.10364879685237e-12,3.83802230081146e-10
"GDC.0879 + torin.2",-0.282478914751992,-0.355982818454473,-0.205501197013374,1.1802611133784e-12,3.98372839327369e-10
"EGF + torin.1",-0.282037836971589,-0.355564220385082,-0.205042130992766,1.28336657698789e-12,4.20797566786085e-10
"BMS.509744 + QL.XII.47",-0.281439582607087,-0.354996409161656,-0.204419532469708,1.43741290488971e-12,4.58215291569841e-10
"QL.XII.47 + XMD.892",-0.280679869349939,-0.354275276917591,-0.203628994770866,1.65931218307247e-12,5.14655854403776e-10
"MLN.8054 + torin.2",-0.280469296079012,-0.354075381832208,-0.20340989552761,1.72653422039753e-12,5.19571307181376e-10
"TNF + torin.1",-0.280307784318359,-0.35392205578672,-0.203241849492499,1.77989319276889e-12,5.19571307181376e-10
"AZD.6482 + QL.XII.47",-0.280215846854602,-0.353834776116648,-0.203146194546376,1.8109839915698e-12,5.19571307181376e-10
"celastrol + torin.1",-0.278914342264172,-0.352599071607516,-0.201792221542475,2.31249539125253e-12,6.47273100244243e-10
"GW.843682X + QL.XII.47",-0.278481829100864,-0.352188368086977,-0.201342337436313,2.50748377752184e-12,6.85140091210492e-10
"torin.2 + XMD.892",-0.278260153548518,-0.351977859606427,-0.201111771385354,2.61356532383845e-12,6.97518038520235e-10
"torin.2 + ZG.10",-0.276836523862471,-0.350625768578044,-0.199631249445021,3.40734227049206e-12,8.85449796200178e-10
"GSK.461364 + torin.2",-0.276735228761518,-0.350529551922131,-0.199525919737918,3.47204956683583e-12,8.85449796200178e-10
"torin.2 + XMD.1185H",-0.275960395254436,-0.349793513275324,-0.198720283459507,4.00839246269284e-12,1.00000678047528e-09
"GSK.1059615 + QL.XII.47",-0.275243875158811,-0.349112787237431,-0.197975371674367,4.57598271024291e-12,1.10912921071653e-09
"GW.843682X + torin.2",-0.275169648477319,-0.34904226412374,-0.197898208905446,4.63909045960208e-12,1.10912921071653e-09
"HG.5.113.01 + torin.2",-0.274570495356703,-0.34847297533165,-0.197275390933282,5.1806286660621e-12,1.21332437901487e-09
"GSK.2126458 + QL.XII.47",-0.274185034719412,-0.348106698860692,-0.1968747386722,5.5611988560919e-12,1.27640636145021e-09
"QL.XII.47 + ZSTK.474",-0.273961191578788,-0.34789398591223,-0.196642085363798,5.79460764053043e-12,1.303900338877e-09
"GSK.690693 + torin.2",-0.273121489027411,-0.347095968200272,-0.195769410825493,6.75864993438432e-12,1.49158205090374e-09
"QL.XII.47 + THZ.2.98.01",-0.272529843163754,-0.346533628712201,-0.195154606797618,7.5303251587303e-12,1.63052851927526e-09
